2026-06-12T10:48:13.416457815Z I0612 10:48:13.416223       1 options.go:263] external host was not specified, using 10.115.252.95
2026-06-12T11:08:08.324454643Z W0612 11:08:08.324349       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: failed to connect to backup target, reason: cannot find nfs path", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc02f0beba0), Code:422}}
2026-06-12T11:08:08.357249357Z W0612 11:08:08.357151       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: S3 backup target should have access key and access key id", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc04de00120), Code:422}}
2026-06-12T11:08:08.374420105Z W0612 11:08:08.374252       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: kubeconfig-default-token-ttl-minutes exceeds 100 years", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc04d9c9920), Code:422}}
2026-06-12T11:08:14.438797980Z I0612 11:08:14.438570       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T11:08:15.181630963Z I0612 11:08:15.181439       1 policy_source.go:248] refreshing policies
2026-06-12T11:10:50.138331145Z W0612 11:10:50.138176       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: namespace invalid-namespace not found", Reason:"BadRequest", Details:(*v1.StatusDetails)(nil), Code:400}}
2026-06-12T11:10:50.149202712Z W0612 11:10:50.149106       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: namespace invalid-namespace not found", Reason:"BadRequest", Details:(*v1.StatusDetails)(nil), Code:400}}
2026-06-12T11:11:55.631586321Z I0612 11:11:55.631481       1 controller.go:667] quota admission added evaluator for: supportbundles.harvesterhci.io
2026-06-12T11:18:14.439743470Z I0612 11:18:14.439553       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T11:18:14.518237197Z I0612 11:18:14.518123       1 policy_source.go:248] refreshing policies
2026-06-12T11:21:24.679097260Z I0612 11:21:24.679008       1 controller.go:667] quota admission added evaluator for: network-attachment-definitions.k8s.cni.cncf.io
2026-06-12T11:21:35.655747779Z I0612 11:21:35.655644       1 controller.go:667] quota admission added evaluator for: ippools.whereabouts.cni.cncf.io
2026-06-12T11:21:35.670476429Z I0612 11:21:35.670388       1 controller.go:667] quota admission added evaluator for: overlappingrangeipreservations.whereabouts.cni.cncf.io
2026-06-12T11:21:48.208964647Z W0612 11:21:48.208847       1 dispatcher.go:225] rejected by webhook "validator.harvester-system.harvester-network-webhook": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvester-system.harvester-network-webhook\" denied the request: Internal error occurred: can't delete cluster network cnet-111938 because vlanconfig(s) [hp-150-tink-system] under this clusternetwork are still existing", Reason:"InternalError", Details:(*v1.StatusDetails)(0xc023cdc6c0), Code:500}}
2026-06-12T11:27:11.915554382Z W0612 11:27:11.915420       1 dispatcher.go:225] rejected by webhook "validator.harvester-system.harvester-network-webhook": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvester-system.harvester-network-webhook\" denied the request: Internal error occurred: can't delete cluster network cnet-eno50 because vlanconfig(s) [cnet-eno50] under this clusternetwork are still existing", Reason:"InternalError", Details:(*v1.StatusDetails)(0xc059a952c0), Code:500}}
2026-06-12T11:28:14.440462141Z I0612 11:28:14.440283       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T11:28:14.849839838Z I0612 11:28:14.849614       1 policy_source.go:248] refreshing policies
2026-06-12T11:38:14.441423572Z I0612 11:38:14.441307       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T11:38:15.193857801Z I0612 11:38:15.192185       1 policy_source.go:248] refreshing policies
2026-06-12T11:48:14.442212244Z I0612 11:48:14.441939       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T11:48:14.528265316Z I0612 11:48:14.528090       1 policy_source.go:248] refreshing policies
2026-06-12T11:50:44.029470353Z W0612 11:50:44.029283       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: can not delete the volume vm-11h37m57s246259-06-12-vm-11h37m57s246259-06-12 which is currently attached to VM: default/vm-11h37m57s246259-06-12", Reason:"Conflict", Details:(*v1.StatusDetails)(nil), Code:409}}
2026-06-12T11:53:09.600666000Z W0612 11:53:09.600462       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: can not delete the volume vm-11h37m57s246259-06-12-vm-11h37m57s246259-06-12 which is currently attached to VM: default/vm-11h37m57s246259-06-12", Reason:"Conflict", Details:(*v1.StatusDetails)(nil), Code:409}}
2026-06-12T11:53:46.307240293Z I0612 11:53:46.307012       1 controller.go:667] quota admission added evaluator for: volumesnapshots.snapshot.storage.k8s.io
2026-06-12T11:55:11.455901824Z W0612 11:55:11.455723       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: source image default/non-existent-encrypted-image not found", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc0466309c0), Code:422}}
2026-06-12T11:55:54.031239768Z W0612 11:55:54.031072       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: source image default/non-existent-encrypted-image not found", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc03060fc80), Code:422}}
2026-06-12T11:55:57.206063899Z W0612 11:55:57.205903       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: secret default/invalid-encrypted-sc-11h52m27s791563-06-12 is not a valid encryption secret, invalid field: CRYPTO_KEY_SIZE", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc0440f42a0), Code:422}}
2026-06-12T11:55:57.252642320Z W0612 11:55:57.252501       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: secret default/invalid-encrypted-sc-11h52m27s791563-06-12 is not a valid encryption secret, invalid field: CRYPTO_KEY_CIPHER", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc045cedec0), Code:422}}
2026-06-12T11:56:15.723330853Z W0612 11:56:15.723231       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:56:15.723354917Z E0612 11:56:15.723274       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T11:56:15.741731720Z W0612 11:56:15.741641       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:56:15.741753326Z E0612 11:56:15.741684       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T11:56:15.749342616Z I0612 11:56:15.749240       1 controller.go:667] quota admission added evaluator for: virtualmachines.kubevirt.io
2026-06-12T11:56:56.189331175Z I0612 11:56:56.189171       1 controller.go:667] quota admission added evaluator for: virtualmachineinstances.kubevirt.io
2026-06-12T11:56:56.247549503Z I0612 11:56:56.247405       1 controller.go:667] quota admission added evaluator for: virtualmachineinstancemigrations.kubevirt.io
2026-06-12T11:57:21.456423330Z W0612 11:57:21.456299       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:57:21.456461741Z E0612 11:57:21.456337       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T11:57:21.464908362Z W0612 11:57:21.464827       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:57:21.464927070Z E0612 11:57:21.464864       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T11:58:02.072360105Z W0612 11:58:02.072195       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:58:02.072390984Z E0612 11:58:02.072258       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T11:58:02.079361074Z W0612 11:58:02.079153       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:58:02.079389730Z E0612 11:58:02.079208       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T11:58:14.442843145Z I0612 11:58:14.442629       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T11:58:14.860494137Z I0612 11:58:14.860307       1 policy_source.go:248] refreshing policies
2026-06-12T11:59:45.239593301Z W0612 11:59:45.239424       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:59:45.239630855Z E0612 11:59:45.239484       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T11:59:45.252758849Z W0612 11:59:45.252602       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T11:59:45.252805816Z E0612 11:59:45.252649       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:04:46.869124955Z W0612 12:04:46.868916       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:04:46.869146441Z E0612 12:04:46.868954       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:04:46.882253997Z W0612 12:04:46.882099       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:04:46.882273121Z E0612 12:04:46.882183       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:07:15.454422376Z W0612 12:07:15.454221       1 dispatcher.go:225] rejected by webhook "validator.harvesterhci.io": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvesterhci.io\" denied the request: Please stop all VMs before configuring the storage-network setting", Reason:"Invalid", Details:(*v1.StatusDetails)(0xc02619eb40), Code:422}}
2026-06-12T12:08:10.175169622Z W0612 12:08:10.175019       1 dispatcher.go:225] rejected by webhook "validator.harvester-system.harvester-network-webhook": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvester-system.harvester-network-webhook\" denied the request: Internal error occurred: can't delete cluster network cnet-eno50 because vlanconfig(s) [cnet-eno50] under this clusternetwork are still existing", Reason:"InternalError", Details:(*v1.StatusDetails)(0xc04ba896e0), Code:500}}
2026-06-12T12:08:10.194210509Z W0612 12:08:10.194089       1 dispatcher.go:225] rejected by webhook "validator.harvester-system.harvester-network-webhook": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvester-system.harvester-network-webhook\" denied the request: Internal error occurred: can't delete cluster network cnet-eno50 because vlanconfig(s) [cnet-eno50] under this clusternetwork are still existing", Reason:"InternalError", Details:(*v1.StatusDetails)(0xc024e2a840), Code:500}}
2026-06-12T12:08:10.200900485Z W0612 12:08:10.200794       1 dispatcher.go:225] rejected by webhook "validator.harvester-system.harvester-network-webhook": &errors.StatusError{ErrStatus:v1.Status{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ListMeta:v1.ListMeta{SelfLink:"", ResourceVersion:"", Continue:"", RemainingItemCount:(*int64)(nil)}, Status:"Failure", Message:"admission webhook \"validator.harvester-system.harvester-network-webhook\" denied the request: Internal error occurred: can't delete cluster network cnet-eno50 because vlanconfig(s) [cnet-eno50] under this clusternetwork are still existing", Reason:"InternalError", Details:(*v1.StatusDetails)(0xc02514ee40), Code:500}}
2026-06-12T12:08:14.443749692Z I0612 12:08:14.443579       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T12:08:15.202969119Z I0612 12:08:15.202329       1 policy_source.go:248] refreshing policies
2026-06-12T12:10:02.885891976Z W0612 12:10:02.885736       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:10:02.885926768Z E0612 12:10:02.885777       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:10:02.900967521Z W0612 12:10:02.900839       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:10:02.900988944Z E0612 12:10:02.900873       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:13:35.283625491Z W0612 12:13:35.283445       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:13:35.283653641Z E0612 12:13:35.283482       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:13:35.295469230Z W0612 12:13:35.295329       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:13:35.295492854Z E0612 12:13:35.295373       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:13:36.423037955Z W0612 12:13:36.422588       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:13:36.423067093Z E0612 12:13:36.422645       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:13:36.431643448Z W0612 12:13:36.431545       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:13:36.431657754Z E0612 12:13:36.431579       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:16:39.183913254Z W0612 12:16:39.183704       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:16:39.183939955Z E0612 12:16:39.183758       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:16:39.196130278Z W0612 12:16:39.196003       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:16:39.196144324Z E0612 12:16:39.196035       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:17:42.297123035Z W0612 12:17:42.296967       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:17:42.297151966Z E0612 12:17:42.297008       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:17:42.306826367Z W0612 12:17:42.306715       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:17:42.306843531Z E0612 12:17:42.306753       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:18:14.443943507Z I0612 12:18:14.443796       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T12:18:14.541849103Z I0612 12:18:14.541684       1 policy_source.go:248] refreshing policies
2026-06-12T12:28:14.445343797Z I0612 12:28:14.445084       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
2026-06-12T12:28:14.888754696Z I0612 12:28:14.888579       1 policy_source.go:248] refreshing policies
2026-06-12T12:34:05.721661847Z W0612 12:34:05.721496       1 dispatcher.go:210] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:34:05.721686258Z E0612 12:34:05.721537       1 dispatcher.go:214] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/mutation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:34:05.734400857Z W0612 12:34:05.734302       1 dispatcher.go:205] Failed calling webhook, failing open pcidevices.harvesterhci.io: failed calling webhook "pcidevices.harvesterhci.io": failed to call webhook: Post "https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s": service "pcidevices-webhook" not found
2026-06-12T12:34:05.734415122Z E0612 12:34:05.734351       1 dispatcher.go:213] "Unhandled Error" err="failed calling webhook \"pcidevices.harvesterhci.io\": failed to call webhook: Post \"https://pcidevices-webhook.harvester-system.svc:8443/v1/webhook/validation?timeout=10s\": service \"pcidevices-webhook\" not found" logger="UnhandledError"
2026-06-12T12:38:14.445405180Z I0612 12:38:14.445285       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.53.0.0/16
